date,platforn,amount
2025-08-22,Microsoft,0
2025-08-23,Microsoft,0
2025-08-24,Microsoft,55
2025-08-25,Microsoft,61
2025-08-26,Microsoft,60
2025-08-27,Microsoft,68
2025-08-28,Microsoft,60
2025-08-29,Microsoft,61
2025-08-30,Microsoft,61
2025-08-31,Microsoft,61
2025-07-01,Google,0
2025-07-02,Google,0
2025-07-03,Google,14
2025-07-04,Google,123
2025-07-05,Google,122
2025-07-06,Google,318
2025-07-07,Google,103
2025-07-08,Google,355
2025-07-09,Google,366
2025-07-10,Google,371
2025-07-11,Google,356
2025-07-12,Google,419
2025-07-13,Google,255
2025-07-14,Google,427
2025-07-15,Google,401
2025-07-16,Google,378
2025-07-17,Google,305
2025-07-18,Google,425
2025-07-19,Google,176
2025-07-20,Google,242
2025-07-21,Google,332
2025-07-22,Google,235
2025-07-23,Google,491
2025-07-24,Google,353
2025-07-25,Google,433
2025-07-26,Google,284
2025-07-27,Google,260
2025-07-28,Google,440
2025-07-29,Google,171
2025-07-30,Google,424
2025-07-31,Google,331
2025-07-01,Microsoft,0
2025-07-02,Microsoft,0
2025-07-03,Microsoft,0
2025-07-04,Microsoft,0
2025-07-05,Microsoft,0
2025-07-06,Microsoft,0
2025-07-07,Microsoft,0
2025-07-08,Microsoft,0
2025-07-09,Microsoft,0
2025-07-10,Microsoft,0
2025-07-11,Microsoft,0
2025-07-12,Microsoft,0
2025-07-13,Microsoft,0
2025-07-14,Microsoft,0
2025-07-15,Microsoft,0
2025-07-16,Microsoft,0
2025-07-17,Microsoft,0
2025-07-18,Microsoft,0
2025-07-19,Microsoft,0
2025-07-20,Microsoft,0
2025-07-21,Microsoft,121
2025-07-22,Microsoft,118
2025-07-23,Microsoft,122
2025-07-24,Microsoft,118
2025-07-25,Microsoft,121
2025-07-26,Microsoft,47
2025-07-27,Microsoft,32
2025-07-28,Microsoft,15
2025-07-29,Microsoft,13
2025-07-30,Microsoft,15
2025-07-31,Microsoft,0
